,...1,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52
1,2823,360,301,0,108,0,0,7,5698,733,9190,1284,4687,352,966,10569,2752,14950,6071,5928,2612,4963,6070,3579,1281,6730,15797,872,1,7608,27,5824,84,1026,11381,8299,2832,472,3938,0,1351,6346,3413,4181,9895,492,5484,6319,9897,3048,689,4081
2,9560,7636,9405,352,2043,741,182,3611,8564,6883,9642,4479,4879,1964,1840,10799,10874,5024,7943,8873,5161,6124,7947,6705,10234,6522,26307,14137,8736,14049,1123,12987,9161,6150,7034,13172,2261,5502,5552,516,8216,11837,12953,13954,6293,4894,4470,7331,6293,4809,9211,5692
3,33141,23248,40638,13604,31691,14346,18653,26140,36100,35776,24216,11921,17008,18945,15322,23694,18231,18954,24606,34714,23814,26888,24603,23636,21953,20076,84050,52576,47527,34552,26577,53749,45341,44314,25515,34396,30852,15703,32063,16141,28041,22450,21173,23797,29033,38501,50062,25057,29031,21232,48294,18763
4,62764,88126,60405,37447,48886,47580,50472,103116,45376,32505,39838,44593,39650,29264,35870,20820,41785,26875,24004,27042,31212,28824,24008,39488,32008,29170,29741,74613,106096,70730,42836,54910,79600,72710,41025,37028,44115,43560,37645,54703,52023,13983,34500,17710,32209,27055,27629,28604,32209,42623,40239,33742
5,1243,370,198,158,153,188,224,188,934,145,565,239,169,225,190,62,617,719,943,1791,2240,407,945,2319,809,4850,2674,515,253,218,169,208,193,222,1026,136,392,746,104,230,159,171,977,184,417,3917,369,1360,416,220,638,4693
6,2593,7193,2037,603,4637,511,65,754,1378,5755,1473,859,1447,11497,4394,5032,467,3751,4442,99,0,7670,4438,61,241,73,2790,4811,527,1910,1422,820,36,322,3959,3240,177,317,367,769,286,5656,751,7696,159,6,56,174,160,3144,0,0
7,2042,1124,1111,679,748,863,761,976,3168,1625,2717,839,1004,1249,879,2902,3201,2188,3271,4220,5683,2315,3270,7057,2791,4578,9684,2107,1343,1656,967,826,929,994,3672,1174,1797,4088,814,1072,782,4726,3536,2820,2203,11463,2085,7966,2203,1847,7483,7512
8,5100,18268,16573,1535,1582,352,2219,10670,16181,8011,23323,13152,20514,9974,9169,3128,21528,3197,9177,9840,18957,7520,9161,24006,32147,16951,177,3970,18964,13674,218,3668,29702,9484,17803,2294,17698,22875,2865,17005,10748,1254,10553,2788,10670,5038,20238,11027,10678,18943,7751,21683
9,4365,1835,981,0,204,0,2,238,4875,822,3310,2263,2830,365,628,5545,6855,3787,4945,18797,13903,1687,4944,15225,3743,19760,4752,644,472,10068,57,2082,755,1122,5883,2122,2423,5022,272,0,1816,6187,5372,3250,8114,9382,4409,14335,8115,2518,16201,13442
10,9033,7895,11657,1217,3069,1792,2174,4593,24204,9964,20214,5391,10989,3647,7038,14774,11790,8306,10961,20788,19167,13172,10959,21988,12162,16789,36398,15653,10010,16300,2525,16832,19157,9264,23242,12037,9704,20349,7182,2517,5737,26683,11292,23455,22108,24732,20841,20810,22101,12678,27314,21066
11,46272,21078,29803,82009,49278,50274,82290,44706,32141,27583,32027,41553,31024,34399,35099,28053,29525,45328,28375,26122,30914,30643,28382,26561,27496,22039,376,6671,16040,16569,36949,34915,35976,22258,29734,42371,42418,33280,38544,38564,33828,26742,39288,29236,32955,22489,33991,27347,32951,26321,35439,29940
12,9661,12382,14776,15178,19150,21548,11013,2801,5878,20482,5545,7722,11599,7628,12475,12954,5816,15619,11632,11323,7997,8474,11635,1786,5100,2137,4300,7892,4515,12325,22676,6816,8766,22346,6091,11830,12045,5650,16163,13182,8655,26058,11755,7808,8623,4306,12073,5331,8625,6204,2529,2112
13,45,3912,4641,140,3653,1751,1305,2427,1226,1078,16,4301,63,2753,3324,372,85,910,228,0,0,682,228,0,0,91,7,0,1,407,4176,171,1076,1895,2,1278,1399,589,4174,4055,414,351,1106,160,17,0,70,257,17,0,5,0
14,13787,11003,12301,4567,13650,5200,3122,3148,4351,11688,5003,3674,11206,4672,5379,13091,5000,7954,7256,4977,2512,5988,7256,2225,4820,1983,10054,15782,5755,13714,7259,9587,6085,9360,9600,13529,4473,3721,8164,5373,5258,13225,6505,12519,5393,1063,3885,3740,5397,5067,3140,258
15,7642,6383,8303,518,1526,461,39,2971,8064,3415,10870,3995,6527,2028,3378,12936,3024,6281,9749,3297,2032,5881,9747,1670,3132,3103,12789,7246,2684,7327,436,3964,3189,3084,6298,11077,1679,1656,3575,703,3856,13088,5876,12830,4156,1870,2282,3254,4152,2932,673,1617
16,710,728,1016,34213,16975,33894,15555,1143,222,7695,131,2476,2131,4380,4782,3713,1289,10065,5113,6,324,7687,5114,772,2458,152,0,273,1241,637,22889,1000,159,4735,2722,5933,2087,944,7503,6419,721,2388,999,8157,1288,0,748,517,1289,4551,41,0
17,79,509,551,17772,2853,16891,13801,8,0,6321,3,500,325,9570,4394,2030,53,2309,5101,0,0,5224,5100,30,866,0,0,14,0,340,17487,53,0,247,543,311,62,38,505,464,4,1657,54,3375,1,0,20,0,1,501,0,0
18,140,132,0,13282,164,13166,12148,0,0,954,0,0,0,8492,695,21,0,805,568,0,0,1445,567,0,0,0,0,0,0,0,12083,0,0,0,27,0,0,0,0,0,0,22,0,176,0,0,0,0,0,0,0,0
19,0,0,0,843,0,7405,4236,0,0,0,0,0,0,4367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,123,622,283,636,1214,3117,3808,126,425,4741,32,683,126,3311,6033,1256,21,1341,1215,0,0,1325,1216,0,103,0,0,10,0,1942,4180,11,0,874,708,1649,140,17,1067,2,0,2942,324,1839,0,0,0,0,0,3,0,0
21,123,7,0,5178,0,6513,7807,0,0,1464,0,0,0,10060,210,0,0,3,1211,0,0,35,1211,0,0,0,0,0,0,66,13354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
