"";"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14";"...15";"...16";"...17";"...18";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31";"...32";"...33";"...34";"...35";"...36"
"1";869;963;655;787;540;827;4146;508;764;1751;1023;1311;3185;661;6051;2247;492;1137;713;663;702;741;2136;1768;1292;1704;560;602;2033;6134;4690;1165;31455;1939;1280;1100
"2";11570;2865;9057;5102;5505;6954;9508;3708;7203;12497;10037;8328;9905;2776;11686;5948;3921;5789;5890;5946;5886;7528;9090;9770;11553;10962;2706;3658;13894;9670;7479;4276;24984;11434;6686;4183
"3";27505;47287;38822;28388;5622;13199;13401;20661;37032;14117;18164;26100;9418;14014;15761;11762;18987;14214;12251;15055;35098;21988;9640;6003;6912;18400;20558;14567;10166;6132;9091;20495;2141;10493;9034;16901
"4";56836;40598;43759;88412;8105;28781;21195;37287;31695;20808;33982;33199;19232;17031;21363;29466;24991;39518;58648;25226;43382;53061;18895;20594;15502;31046;21519;19565;29013;18045;20489;24071;30602;32328;35546;19084
"5";10984;6956;8791;9215;2237;2969;3073;8764;3033;2581;2823;3144;2777;2642;2519;3482;4723;3761;1921;3508;3918;4979;3040;2635;2535;3675;2250;2426;2455;3136;2443;2554;3037;2698;4682;2569
"6";7213;20437;19781;6670;6486;24096;17465;29445;20144;15186;24736;14366;19510;11935;12949;9978;17395;30379;5167;6510;9170;7360;7672;28702;13169;16299;16315;19342;15746;11504;12352;12465;14872;14015;22559;14538
"7";11759;15900;18367;6919;23892;13553;5078;19785;21909;9592;13762;4380;8770;10589;4365;7274;12306;14473;18985;28173;22409;23282;11353;36559;5635;10792;18117;18261;20619;2793;607;3602;32;2873;665;1467
"8";13414;30010;30653;11185;4786;10400;3369;10837;20455;5565;13353;9059;4577;5032;2807;6032;15646;9636;13098;43631;27610;19535;11331;12258;596;8422;15939;14732;14376;1252;218;1574;123;1486;603;9216
"9";4655;1152;1860;895;7382;8611;11398;1751;6493;12356;5593;15797;16941;21588;10113;17867;6366;7147;4918;2260;2131;5546;23202;16213;20383;12288;11933;18427;25694;23632;26502;34102;9683;10204;12051;35002
"10";6987;9052;6025;4685;25504;14384;6780;10307;15019;6806;16089;2023;2856;3064;2881;4921;6030;3802;13938;11896;7004;8356;6746;16516;3166;11023;13119;11871;7334;431;221;287;151;1800;123;75
"11";8128;4563;5389;6784;1235;2392;550;5198;2540;219;1362;0;41;87;105;1336;1690;1780;382;5676;5992;39;359;6165;147;3673;341;1254;1039;0;0;26;0;575;507;0
"12";13753;11828;6949;5166;11543;10658;14263;3956;9023;8929;6067;8404;15635;18712;8991;8278;6583;5519;18645;16779;17045;16981;29554;10452;21497;9508;16337;28485;20083;14249;10811;16068;3189;9331;6776;12139
"13";831;11066;9117;6485;26745;10728;6543;14193;16513;6930;13808;2985;4353;5018;2675;2226;6656;3978;8084;17272;7786;6296;4855;12604;0;7293;10771;6549;5820;31;0;8;0;75;308;0
"14";76;7171;2403;1312;51082;25234;6615;27589;7055;15663;9747;3441;16502;19252;1824;10914;25664;8094;8464;3328;3603;6161;18373;18387;0;21398;29138;19666;1377;0;0;0;0;306;127;0
"15";6385;6142;4067;2372;8912;5854;6596;7059;5009;4402;3925;2810;5336;4809;3381;13367;4961;3993;7456;7592;5305;5323;9290;9539;7028;6390;8245;8123;10438;5183;4197;1914;854;5557;1432;3763
"16";35223;8506;15578;25840;9498;13453;8898;11953;9085;14426;11493;15722;7307;6249;13949;8862;8511;12567;24412;16797;21778;17004;15845;9704;12540;13454;4884;2893;11009;9426;7697;7004;27473;17003;13382;6970
"17";1927;174;770;256;2737;6940;17478;769;687;11739;4274;6066;9229;7026;22970;16798;2643;4790;732;963;196;407;10850;3899;18476;5181;2039;6023;7059;22136;35217;21516;44430;19575;23585;11545
"18";38654;34877;32890;57368;9163;21322;15401;16193;31077;35781;24145;29490;15167;14171;31245;34950;20090;25054;49518;18966;34744;58952;18607;10186;21552;17247;20173;10875;20363;16436;25330;26725;23656;38031;42459;20896
"19";104;336;1411;1016;2923;3206;2298;3588;1331;7876;2745;4648;15119;12405;5073;4693;16383;5097;803;973;1421;2969;12953;3978;10946;3094;4362;3468;6334;4751;3162;4575;333;4754;5393;15929
"20";17081;2229;5818;6737;9599;19587;23243;1863;9171;32675;21937;10218;14042;9948;21028;18756;6452;16688;18853;8572;4666;9311;17892;2187;31104;12877;6200;6423;10415;17848;28660;23679;17148;17955;25827;11198
"21";3331;9378;8605;2507;5355;14622;17934;14132;12373;8032;6196;2475;13495;16765;2594;5346;9847;3011;2744;5344;8902;1658;1699;19937;22276;15284;8687;27226;15092;5655;363;65;62;4002;1741;2556
"22";529;9646;10658;3321;14479;7868;37;9253;7833;2114;5828;1396;5045;3466;564;1940;5426;4485;3149;32608;14641;7873;4673;4587;384;7894;5463;8701;14702;73;4;308;0;323;118;5754
