,...1,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52
1,3138,2077,3140,1966,2155,1894,1882,2206,2394,2412,2327,19115,14801,4469,13655,4791,8804,6738,4550,6378,7533,7567,4596,7087,8543,4089,2521,3577,3625,3531,3670,3448,3062,3687,3622,5308,3725,18463,14106,15398,12802,6485,8565,4262,7246,5397,6843,5737,7529,7804,5440,5710
2,21284,12799,13675,21644,18309,19283,30414,20822,8686,13916,19277,17533,15617,12734,15285,12563,15306,13528,12761,13994,13819,8776,13020,8573,19064,10228,1599,13558,17344,10093,15914,12628,13248,14596,9393,17213,19164,15624,25965,20807,19534,14156,20831,18158,17122,14988,20754,12532,17064,13247,16499,12968
3,9662,8899,11657,2271,4468,2587,3534,6637,15305,3901,13024,4308,7915,4375,3472,6037,7298,4860,4591,13109,13205,6729,5164,12943,9696,13117,32359,17418,12441,11554,2415,23255,21329,12726,10419,10633,6056,5819,8114,3512,6669,8394,9175,6981,10753,17696,14886,15869,10522,7296,12811,13708
4,5078,2827,3429,653,475,369,302,286,3452,2110,3809,452,1971,1456,1668,8950,2140,3301,3407,5284,5546,3587,3509,5750,3564,11067,10619,3330,1369,6610,164,2806,1968,1702,4533,3454,1041,1417,2023,364,839,4543,2774,2635,3645,6872,1912,5635,3993,1680,3001,9693
5,1669,23,249,29,79,7,60,35,129,349,972,416,273,804,76,363,732,469,1231,2493,3102,1459,1220,2849,2395,2283,1203,245,326,147,6,30,10,94,722,259,172,649,372,0,88,558,615,282,828,4071,1271,2935,901,1456,3389,5628
6,16299,28779,20705,8283,15322,11787,8770,35540,23581,8210,14384,10021,8680,6404,6497,3389,9739,3805,5336,9246,12777,8818,5841,15092,10857,12822,12933,24383,43006,17769,5872,33816,33073,19352,14424,13980,11886,13508,8174,8813,11580,5642,6930,4937,10016,12087,10610,13536,10021,12870,19302,10610
7,2482,386,1185,288,530,320,988,824,1894,995,2900,1236,814,2249,538,2174,2708,1039,1820,4613,6507,2658,2210,5978,3789,3630,1590,2147,1526,1913,428,895,1129,1034,1650,841,970,2158,1014,156,811,995,2420,1767,1951,12526,4147,5316,1865,3175,5329,5550
8,8943,11912,13684,15241,18492,15953,12407,6003,4699,16586,9506,4725,11303,5551,10841,11038,9915,16545,11738,15201,11297,10318,11756,5186,10275,5230,6914,11738,8816,12293,10981,6061,4343,19758,12996,13817,9054,4989,15503,9059,8223,16025,14112,13129,11768,7273,9731,8406,11740,9734,5682,2534
9,4115,5912,4586,7670,10075,7664,6384,2260,751,13935,2190,2364,2840,7611,5379,8344,2108,12070,7863,1106,531,10587,7921,3547,2710,1497,329,4280,875,3145,3558,835,756,5136,7384,4898,2380,983,1750,4551,1079,8206,2521,17792,2701,27,1184,1964,2815,6179,59,57
10,5393,8170,3413,2932,679,2289,784,48,592,5911,2682,17,3116,1899,3731,13982,2037,4240,6328,1147,536,4109,6149,909,1617,540,7113,4900,876,7118,3488,353,96,2048,4317,1876,468,917,709,664,323,6085,2671,5283,1299,120,111,1954,1447,351,11,43
11,1695,5151,2043,144,831,74,350,652,11,1802,696,123,1014,649,2212,462,580,1913,2422,0,55,1557,2350,1357,75,338,86,1535,4,2562,27,231,0,499,3450,509,71,41,105,419,160,666,905,4210,369,0,0,550,384,1512,0,46
