"";"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14";"...15";"...16";"...17";"...18";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31";"...32";"...33";"...34";"...35";"...36"
"1";2434;3617;4140;2136;2433;5185;4184;5984;5698;3484;6938;3770;4581;3379;3613;2791;5946;9264;3097;2949;2670;2516;3569;7709;5531;4770;5071;5672;5071;4004;5159;4410;4730;4504;7956;5358
"2";24557;28717;24434;34092;3008;5388;3429;15363;2717;1214;6524;4418;2331;2869;1817;1817;6715;11187;17759;14898;23236;15241;13856;5785;1843;4959;1812;718;2394;5881;2420;5884;5401;1496;5096;2536
"3";2605;2050;3033;1656;134;242;0;4793;625;198;184;82;0;98;0;6;1340;431;171;1519;660;361;171;20;0;559;201;0;60;149;18;6;56;57;20;0
"4";2952;581;2042;1879;1731;1117;1263;512;484;1902;1739;2278;2515;1718;2242;2078;1559;1473;1604;2651;1912;1105;2977;850;1498;1393;920;539;2421;4790;3577;2361;7215;2387;3851;3058
"5";538;84;704;588;496;442;198;541;94;895;656;938;1279;259;266;475;579;695;507;372;330;696;1196;1309;93;788;150;38;344;1527;1307;908;4584;783;2201;1454
"6";6959;4515;5888;9742;3178;1729;1954;3225;1604;1887;2583;2674;2232;2891;1497;2861;3583;2847;7346;8423;11299;5221;5685;2885;2389;2830;2058;902;3986;4509;2545;4470;4767;2451;3203;3066
"7";17908;9172;5297;24310;7452;6730;9225;2052;8253;11764;4335;7979;11410;10872;12772;11935;5455;3961;15329;5135;8262;17526;9553;5636;12486;5111;7834;4307;9004;7238;11269;12517;9663;10596;6428;8725
"8";1756;78;431;309;479;783;910;327;199;6405;3832;3894;1724;1003;2422;3079;630;795;563;452;324;404;1786;1560;1914;1230;727;978;3972;5714;6709;2384;14422;1708;6902;6806
"9";3529;1841;1962;4238;3022;2549;750;2198;2565;1592;1869;858;451;1057;1130;255;1536;1067;1460;2599;2847;1527;2417;1925;557;232;2165;128;639;1052;338;1449;1640;723;499;340
"10";796;2426;4301;1189;340;11215;10826;4908;13209;8913;14586;9866;10075;8936;6700;9799;11192;12048;1009;1282;1117;663;1379;11898;5961;11933;10248;7527;11422;5950;7415;11160;11523;10718;10418;9411
"11";8408;2061;2075;2499;3032;2209;4558;1254;2686;8447;4221;9972;6323;3501;8068;5629;1790;3023;8245;2911;2891;6189;5390;2607;9972;2592;3342;4763;7083;6383;15010;6888;10848;7060;8937;13640
"12";13364;12206;13448;8917;3074;6318;5242;6372;13376;7434;7695;2215;6666;8480;4867;7425;7494;9353;9600;3832;17863;7069;5901;8890;5799;7922;8271;12061;12588;3249;2695;15016;819;5581;1746;3747
"13";865;6652;9370;772;6845;12108;4067;11768;15564;7008;6848;967;5530;8648;1997;3148;9833;12005;6905;14541;12233;6905;5651;10657;1766;3956;8141;7994;10355;746;90;1206;3;1091;308;84
"14";1490;1607;2411;187;1807;4625;4724;3554;3715;6644;3380;13082;4582;6234;8451;5717;4752;4167;3630;3199;1532;4663;6954;3929;22740;3046;5998;6977;5084;14846;11244;7823;1043;12667;8245;8910
"15";220;0;137;31;122;150;510;0;0;1388;1417;2205;1353;711;1157;2129;865;549;12;9;45;21;927;102;456;605;158;70;150;2466;2891;1716;13620;1465;2978;3508
"16";862;167;858;73;683;1298;3120;737;786;3926;2545;5663;3243;3750;5327;2965;2065;1376;908;247;254;470;1881;2264;4883;1852;1107;1682;2416;10945;8174;3867;3766;5959;6066;12157
"17";2319;3652;9069;4313;1193;1135;633;1564;659;1246;486;2117;619;2546;2318;261;2255;4019;2339;7357;4174;8397;1143;367;1312;250;1779;839;2699;737;720;3780;129;1621;751;1267
"18";342;3439;1647;241;4728;4175;1402;4777;3725;1141;835;2461;2378;3247;2495;452;5168;4146;5379;11211;1543;11548;1508;767;331;340;654;488;4704;698;18;364;0;819;969;4
"19";3774;3188;1681;834;5378;2099;3795;2328;2262;2599;2463;1695;1884;847;1691;3039;1068;1247;2831;1797;1843;1976;2149;2388;6280;2507;1308;4540;2233;1743;1278;203;415;3245;627;2332
"20";0;5642;1183;0;20229;11286;11116;6018;9884;6510;10240;1937;3266;2754;2564;5800;4750;1981;3545;5552;1418;548;7052;8942;298;11658;10220;9670;3107;996;44;620;0;800;128;0
"21";636;4323;3506;165;2479;4645;4177;4584;1716;2363;4636;1531;1342;2040;1228;10709;1377;842;4657;2751;2653;2236;5286;7880;1692;8978;6283;8764;1708;2180;1003;678;66;2358;260;910
"22";0;871;78;0;3196;712;3935;2547;332;1165;1003;9363;6629;6501;7827;2803;1939;1742;345;1604;6;2220;2792;1133;157;2363;3918;972;1406;1727;43;1129;0;1273;1083;17
"23";6;27;264;0;321;281;1581;105;0;319;451;1115;800;1891;2537;490;1194;223;63;88;2;111;641;97;144;92;41;352;331;1834;4209;1660;1284;4333;2804;6134
"24";0;868;0;0;16488;4380;6265;4002;608;6208;4118;2576;4693;2933;548;5436;7470;1520;279;1689;3;50;2802;3261;0;7233;9411;6735;68;191;0;0;0;18;100;0
"25";6;481;564;0;1328;2539;3710;3248;177;771;928;4267;3595;3590;8156;994;2021;526;406;744;20;1231;1963;685;3459;1657;1354;891;745;4492;3856;2419;102;4978;4247;944
"26";549;959;850;84;757;3407;5738;1686;6969;1999;2796;851;4735;2089;1807;5221;3453;2425;54;442;695;14;560;4582;3647;4357;2967;9273;2739;923;1201;415;325;4627;1012;2637
"27";0;171;126;0;91;895;412;951;16;0;0;31;0;13;11;183;74;0;2;21;169;0;64;1944;0;292;0;24;0;0;0;0;0;0;0;0
"28";0;0;0;0;1642;301;899;1641;210;1069;936;0;2995;1828;145;344;873;1607;28;79;0;298;249;47;0;2283;903;649;0;0;0;0;0;0;47;0
"29";259;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;437;2;0;55;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
"30";0;0;6;0;242;97;25;1491;0;0;0;0;0;0;0;24;0;0;0;20;0;0;9;556;0;105;0;0;0;0;0;0;0;0;0;0
"31";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"32";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
